ID Cliente,Nombre Completo,Genero,Edad,Estado,Tipo de empleo,Fecha de Inicio,Balance,Estado Civil,Ultimo grado de estudios,Credito vivienda,Otro credito,Forma de contacto,Impago en credito
23,Ashlie O'Donnell,Mujer,41,Arizona,Empleado,18/01/2020,"$78,130.79",Soltero,Universidad,No,No,Domicilio,No
24,Rickey Hernandez,Hombre,52,Nevada,Obrero,19/01/2020,"$5,921.63",Casado,Universidad,No,No,Correo,No
25,Lolita Powers,Mujer,38,Texas,Empleado,20/01/2020,"$21,806.48",Casado,Preparatoria,No,No,Correo,No
26,Darin Molinari,Hombre,55,Nevada,Obrero,21/01/2020,"$47,412.66",Casado,Preparatoria,No,No,Correo,No
27,Ede Butterfield,Mujer,37,Florida,Empleado,23/01/2020,"$3,555.72",Casado,Basica,Si,No,Domicilio,No
28,Zena Miller,Mujer,33,Texas,Empleado,25/01/2020,"$3,972.78",Casado,Otro,No,No,Celular,No
29,Ramesh Stevenson,Hombre,50,Nevada,Obrero,25/01/2020,"$23,508.57",Casado,Universidad,No,Si,Correo,No
30,Prince Sweed,Hombre,42,Texas,Empleado,27/01/2020,"$12,458.57",Casado,Universidad,No,Si,Correo,No
31,Lindie Daniels,Mujer,25,Texas,Empleado,28/01/2020,"$42,299.94",Divorciado,Universidad,No,No,Celular,Si
32,Horatius MacAllister,Hombre,30,Arizona,Empleado,28/01/2020,"$16,521.36",Casado,Universidad,No,No,Correo,No
33,Carlye Eaton,Mujer,58,Nevada,Otro,29/01/2020,"$25,117.30",Casado,Universidad,No,No,Correo,No
34,Easton Brennan,Hombre,26,Texas,Otro,30/01/2020,"$6,428.42",Soltero,Preparatoria,Si,No,Correo,Si
35,Candie Carmichael,Mujer,34,Texas,Obrero,31/01/2020,"$73,056.24",Casado,Preparatoria,No,No,Correo,Si
36,Marylynne Noonan,Mujer,36,Texas,Empleado,31/01/2020,"$36,134.10",Divorciado,Universidad,Si,No,Domicilio,No
37,Chere Creighton,Mujer,33,Texas,Empleado,31/01/2020,"$22,506.06",Divorciado,Basica,No,No,Celular,Si
38,Christophe Schild,Hombre,31,Texas,Otro,31/01/2020,"$5,723.61",Casado,Universidad,Si,No,Correo,Si
39,Major Gonzalez,Hombre,35,Nevada,Obrero,31/01/2020,"$13,035.52",Casado,Universidad,Si,No,Correo,Si
40,Marmaduke Mitchum,Hombre,59,Nevada,Otro,31/01/2020,"$106,924.72",Soltero,Preparatoria,Si,No,Domicilio,No
41,Anselm Sink,Hombre,27,Texas,Obrero,01/02/2020,"$59,570.75",Soltero,Preparatoria,Si,No,Domicilio,No
42,Cecelia Braun,Mujer,35,Texas,Empleado,01/02/2020,"$9,427.72",Soltero,Preparatoria,No,No,Correo,No
43,Brandon Barcio,Hombre,49,Nevada,Obrero,01/02/2020,"$127,316.43",Casado,Universidad,Si,No,Correo,No
44,Binni Norris,Mujer,22,Florida,Otro,01/02/2020,"$104,577.69",Casado,Preparatoria,Si,No,Correo,No
45,Luci Ducich,Mujer,53,Texas,Otro,03/02/2020,"$2,934.72",Soltero,Preparatoria,Si,No,Correo,No
46,Noel Rittenbach,Mujer,47,Nevada,Otro,03/02/2020,"$57,750.55",Soltero,Preparatoria,Si,No,Domicilio,No
47,Loren Bensley,Mujer,32,Nevada,Otro,03/02/2020,"$58,017.93",Casado,Basica,No,No,Celular,No
48,Mandy Zandusky,Mujer,19,Florida,Otro,08/02/2020,"$14,064.25",Casado,Basica,Si,No,Domicilio,No
49,Dario Cacioppo,Hombre,27,Texas,Empleado,12/02/2020,"$26,573.84",Soltero,Basica,Si,Si,Correo,No
50,Jonas Martin,Hombre,39,Texas,Empleado,12/02/2020,"$37,596.43",Casado,Otro,Si,No,Correo,Si
51,Maudie Armstrong,Mujer,29,Texas,Obrero,12/02/2020,"$1,381.21",Divorciado,Basica,No,No,Domicilio,Si
52,Dina Voltz,Mujer,31,Texas,Obrero,12/02/2020,"$44,742.25",Soltero,Universidad,Si,No,Correo,No
53,Feodora Ludtke,Mujer,37,Texas,Otro,12/02/2020,"$53,701.21",Soltero,Universidad,No,No,Correo,No
54,Enrichetta Crowe,Mujer,32,Texas,Empleado,12/02/2020,"$28,167.99",Casado,Preparatoria,Si,No,Correo,Si
55,Patsy Kipp,Hombre,24,Texas,Empleado,12/02/2020,"$5,398.18",Casado,Universidad,Si,No,Correo,No
56,Penrod Guthrie,Hombre,40,Texas,Empleado,12/02/2020,"$63,269.94",Casado,Universidad,Si,No,Celular,No
57,Nadine Cartwright,Mujer,33,Texas,Obrero,12/02/2020,"$68,277.27",Casado,Universidad,No,Si,Celular,No
58,Monty Dominguez,Hombre,44,Texas,Empleado,12/02/2020,"$42,314.93",Soltero,Preparatoria,No,No,Correo,No
59,Aziz Fox,Hombre,39,Texas,Otro,12/02/2020,"$2,005.27",Soltero,Universidad,Si,Si,Domicilio,No
60,Darby Staebel,Hombre,47,Texas,Empleado,12/02/2020,"$25,099.43",Divorciado,Universidad,Si,Si,Domicilio,No
61,Nada Shagiari,Mujer,35,Texas,Empleado,12/02/2020,"$4,783.64",Casado,Basica,No,Si,Celular,No
62,Thomasina Wardle,Mujer,47,Texas,Otro,12/02/2020,"$19,559.96",Casado,Universidad,Si,No,Correo,No
63,Alfred Creighton,Hombre,47,Texas,Empleado,12/02/2020,"$23,926.64",Casado,Preparatoria,No,No,Correo,No
64,Ursula Doherty,Mujer,39,Texas,Empleado,12/02/2020,"$43,284.60",Casado,Universidad,No,No,Correo,No
65,Fiann Hughsby,Mujer,50,Nevada,Otro,12/02/2020,"$16,366.55",Casado,Universidad,No,No,Correo,No
66,Bancroft Glassco,Hombre,43,Nevada,Obrero,12/02/2020,"$21,004.90",Divorciado,Universidad,Si,No,Correo,No
67,Florian Andreada,Hombre,47,Nevada,Obrero,12/02/2020,"$5,430.67",Casado,Universidad,Si,No,Correo,No
68,Gabriell Gastineau,Hombre,61,Nevada,Obrero,12/02/2020,"$7,412.72",Casado,Universidad,Si,No,Correo,No
69,Patty Ellison,Hombre,53,Nevada,Obrero,12/02/2020,"$38,597.78",Casado,Universidad,No,Si,Correo,No
70,Lorrie Willingham,Hombre,45,Nevada,Otro,12/02/2020,"$17,676.12",Soltero,Preparatoria,No,No,Correo,No
71,Morty Phelps,Hombre,49,Nevada,Obrero,12/02/2020,"$66,085.99",Casado,Preparatoria,No,No,Correo,Si
72,Fionnula Knudson,Mujer,51,Nevada,Otro,12/02/2020,"$36,361.40",Divorciado,Preparatoria,Si,No,Domicilio,No
73,Abby Brooks,Mujer,36,Arizona,Empleado,12/02/2020,"$40,271.40",Soltero,Preparatoria,Si,No,Domicilio,No
74,Milo Paige,Hombre,45,Arizona,Otro,12/02/2020,"$36,539.04",Casado,Preparatoria,Si,No,Domicilio,No
75,Kandy Trevino,Mujer,30,Florida,Empleado,12/02/2020,$23.91,Casado,Universidad,Si,No,Domicilio,No
76,Bobby Murdock,Hombre,44,Nevada,Obrero,24/02/2020,"$56,226.39",Divorciado,Preparatoria,No,No,Correo,No
77,Leonid Dartt,Hombre,38,Texas,Empleado,09/03/2020,"$31,694.96",Divorciado,Universidad,Si,No,Correo,No
78,Glenda Jones,Mujer,36,Texas,Otro,10/03/2020,"$43,683.78",Soltero,Universidad,No,Si,Correo,No
79,Othelia Martin,Mujer,23,Arizona,Obrero,15/03/2020,"$7,376.30",Divorciado,Basica,No,No,Correo,No
80,Levy Sievert,Hombre,34,Texas,Empleado,16/03/2020,$222.88,Casado,Universidad,Si,No,Correo,No
81,Sada Braxton,Mujer,36,Texas,Empleado,16/03/2020,"$60,338.87",Divorciado,Universidad,Si,No,Correo,Si
82,Leslie Jackson,Hombre,20,Texas,Empleado,16/03/2020,"$12,546.31",Casado,Basica,No,No,Correo,No
83,Hamlen Kriz,Hombre,31,Texas,Obrero,16/03/2020,"$9,087.76",Soltero,Universidad,Si,Si,Correo,No
84,Darcy Kendrick,Hombre,42,Texas,Empleado,16/03/2020,"$46,467.43",Casado,Universidad,No,No,Celular,Si
85,Jodie Marley,Mujer,38,Texas,Empleado,16/03/2020,"$59,156.87",Casado,Preparatoria,No,No,Correo,Si
86,Luigi Knutson,Hombre,39,Texas,Empleado,16/03/2020,"$26,773.76",Casado,Basica,Si,No,Domicilio,No
87,Algernon Merwin,Hombre,41,Texas,Otro,16/03/2020,"$5,467.21",Soltero,Universidad,No,Si,Correo,No
88,Albertina McCarthy,Mujer,24,Texas,Empleado,16/03/2020,"$78,868.69",Soltero,Basica,Si,No,Domicilio,No
89,Fawne Packer,Mujer,24,Texas,Empleado,16/03/2020,"$46,786.87",Casado,Universidad,Si,No,Correo,No
90,Yettie Zewe,Mujer,35,Texas,Empleado,16/03/2020,"$3,899.07",Casado,Universidad,Si,No,Domicilio,No
91,Marchall Brandow,Hombre,35,Texas,Empleado,16/03/2020,"$88,948.76",Casado,Basica,No,No,Correo,No
92,Annmaria Mitchum,Mujer,26,Texas,Empleado,16/03/2020,"$31,303.81",Casado,Basica,Si,No,Domicilio,No
93,Cliff Hopkins,Hombre,23,Texas,Empleado,16/03/2020,"$13,783.40",Soltero,Universidad,Si,No,Correo,Si
94,Kellina Bertelson,Mujer,38,Texas,Otro,16/03/2020,"$49,976.30",Soltero,Preparatoria,No,No,Correo,No
95,Tessi Stewart,Mujer,30,Texas,Empleado,16/03/2020,"$55,009.25",Casado,Universidad,No,No,Correo,No
96,Bailie Currie,Hombre,28,Texas,Empleado,16/03/2020,"$75,897.46",Soltero,Preparatoria,No,No,Correo,No
97,Risa Kirkland,Mujer,38,Texas,Obrero,16/03/2020,"$63,251.93",Casado,Preparatoria,Si,No,Domicilio,No
98,Erica Elliston,Mujer,36,Texas,Empleado,16/03/2020,"$1,687.75",Soltero,Preparatoria,No,No,Correo,No
99,Kit Holt,Hombre,40,Nevada,Obrero,16/03/2020,"$6,320.09",Divorciado,Universidad,No,No,Correo,No
100,Vania Stewart,Mujer,56,Nevada,Otro,16/03/2020,"$14,794.54",Soltero,Basica,No,No,Correo,Si
101,Flinn Wilson,Hombre,51,Nevada,Obrero,16/03/2020,"$128,074.66",Casado,Universidad,Si,No,Domicilio,No
102,Roxine Howell,Mujer,44,Nevada,Empleado,16/03/2020,"$16,942.69",Soltero,Preparatoria,Si,No,Correo,No
103,Anny Blumstein,Mujer,55,Nevada,Empleado,16/03/2020,"$37,951.88",Casado,Universidad,No,No,Celular,No
104,Patricia Smith,Mujer,57,Nevada,Otro,16/03/2020,"$23,106.22",Soltero,Basica,Si,No,Celular,No
105,Nikki Dominguez,Hombre,48,Nevada,Empleado,16/03/2020,"$101,533.51",Soltero,Universidad,No,No,Domicilio,No
106,Marcelline Ashbrook,Mujer,54,Nevada,Otro,16/03/2020,"$45,176.45",Soltero,Preparatoria,Si,No,Correo,No
107,Quincey Bremer,Hombre,36,Nevada,Obrero,16/03/2020,"$13,215.03",Casado,Universidad,Si,Si,Domicilio,No
108,Meir Lonsdale,Hombre,48,Nevada,Obrero,16/03/2020,"$27,999.39",Casado,Preparatoria,Si,No,Correo,No
109,Bennett Wilson,Hombre,63,Nevada,Otro,16/03/2020,"$81,945.87",Casado,Basica,No,No,Correo,Si
110,Davidson Haushalter,Hombre,63,Nevada,Obrero,16/03/2020,"$27,769.30",Casado,Basica,Si,No,Correo,No
111,Maren Collister,Mujer,25,Arizona,Otro,16/03/2020,"$73,711.63",Soltero,Universidad,No,No,Correo,Si
112,Bartholomeus Latchford,Hombre,26,Arizona,Empleado,16/03/2020,"$19,620.06",Casado,Preparatoria,Si,No,Celular,No
113,Rem Reichenbach,Hombre,29,Florida,Empleado,16/03/2020,"$82,665.15",Casado,Universidad,Si,Si,Correo,No
114,Kata Carreira,Mujer,18,Florida,Otro,16/03/2020,"$56,016.58",Soltero,Universidad,No,No,Correo,No
115,Verina liebe,Mujer,43,Florida,Obrero,16/03/2020,"$36,331.84",Soltero,Universidad,No,No,Celular,Si
116,Marleen Braxton,Mujer,36,Texas,Otro,19/03/2020,"$23,366.24",Soltero,Universidad,No,Si,Correo,Si
117,Corabella Collins,Mujer,40,Texas,Otro,25/03/2020,"$13,528.12",Casado,Universidad,Si,No,Correo,No
118,Constantin Hwang,Hombre,52,Nevada,Otro,28/03/2020,"$80,659.81",Soltero,Universidad,No,Si,Correo,No
119,Trixy Bergmann,Mujer,18,Texas,Empleado,31/03/2020,"$39,872.96",Casado,Basica,No,No,Correo,No
120,Pen Abelman,Mujer,31,Texas,Empleado,31/03/2020,"$124,752.40",Divorciado,Preparatoria,No,No,Domicilio,No
121,Lukas Hastings,Hombre,37,Texas,Empleado,31/03/2020,"$39,728.31",Divorciado,Universidad,Si,No,Correo,No
122,Bertram Blumstein,Hombre,25,Texas,Otro,31/03/2020,"$4,016.78",Casado,Basica,No,No,Correo,No
123,Aharon Gjertsen,Hombre,50,Texas,Empleado,31/03/2020,"$40,797.19",Casado,Universidad,Si,No,Domicilio,No
124,Marcelo O'Carroll,Hombre,39,Texas,Otro,01/04/2020,"$124,108.25",Casado,Universidad,No,Si,Correo,No
125,Angie Haines,Hombre,27,Texas,Empleado,01/04/2020,"$12,579.37",Soltero,Preparatoria,Si,No,Correo,No
126,Kristian Zandusky,Hombre,42,Texas,Empleado,01/04/2020,"$60,189.39",Soltero,Preparatoria,No,No,Correo,Si
127,Stevena Lampkin,Mujer,27,Texas,Empleado,01/04/2020,"$10,240.52",Soltero,Universidad,No,No,Domicilio,No
128,Vonni Schoenberger,Mujer,41,Texas,Empleado,01/04/2020,"$4,560.76",Soltero,Universidad,No,Si,Correo,No
129,Freeman Roper,Hombre,47,Texas,Empleado,01/04/2020,"$16,994.45",Soltero,Universidad,No,No,Celular,No
130,Conni Hopkins,Mujer,27,Texas,Empleado,01/04/2020,"$25,272.67",Divorciado,Preparatoria,No,No,Correo,Si
131,Priscella Peterman,Mujer,41,Texas,Empleado,01/04/2020,"$31,809.49",Casado,Basica,Si,No,Correo,No
132,Miguel Seio,Hombre,20,Texas,Obrero,01/04/2020,"$8,902.01",Casado,Basica,Si,No,Domicilio,No
133,Lulu Gerbode,Mujer,38,Texas,Empleado,02/04/2020,"$36,609.06",Casado,Otro,Si,No,Domicilio,No
134,Johann Pak,Hombre,34,Texas,Obrero,02/04/2020,"$47,682.97",Casado,Otro,Si,No,Correo,No
135,Griswold Mautz,Hombre,42,Texas,Empleado,02/04/2020,"$65,956.58",Soltero,Universidad,Si,No,Domicilio,No
136,Kurtis Atkinson,Hombre,26,Texas,Empleado,02/04/2020,"$13,058.82",Soltero,Preparatoria,No,No,Correo,No
137,Robbi Kelly,Mujer,43,Texas,Empleado,02/04/2020,"$44,888.73",Soltero,Universidad,Si,Si,Correo,No
138,Joab Jones,Hombre,37,Texas,Empleado,02/04/2020,"$10,434.01",Soltero,Preparatoria,No,No,Correo,No
139,Bette O'Brill,Mujer,40,Texas,Empleado,02/04/2020,"$58,695.21",Casado,Preparatoria,Si,No,Correo,Si
140,Norton Lucas,Hombre,57,Nevada,Obrero,02/04/2020,"$41,867.75",Casado,Otro,No,No,Domicilio,No
141,Elvira Bickford,Mujer,45,Texas,Empleado,03/04/2020,"$35,684.82",Divorciado,Preparatoria,No,No,Correo,No
142,Mickie Crouse,Hombre,23,Texas,Empleado,03/04/2020,"$11,247.37",Soltero,Preparatoria,Si,No,Correo,No
143,John Cheatham,Hombre,45,Texas,Otro,03/04/2020,"$43,866.15",Divorciado,Otro,Si,No,Domicilio,No
144,Mattie Dahlen,Hombre,26,Texas,Empleado,03/04/2020,"$4,577.51",Soltero,Preparatoria,Si,No,Correo,No
145,Gregor Bellavance,Hombre,37,Texas,Empleado,04/04/2020,"$88,720.82",Casado,Universidad,Si,Si,Domicilio,No
146,Abby Lonsdale,Hombre,41,Texas,Empleado,05/04/2020,"$61,105.34",Casado,Preparatoria,No,Si,Correo,No
147,Jephthah Brennan,Hombre,33,Texas,Empleado,05/04/2020,"$5,032.88",Casado,Basica,No,Si,Domicilio,No
148,Valencia Willman,Mujer,37,Texas,Empleado,05/04/2020,"$46,445.18",Casado,Universidad,Si,No,Correo,No
149,Othello Dunbar,Hombre,33,Texas,Empleado,05/04/2020,"$32,996.88",Casado,Universidad,Si,No,Correo,No
150,Brittany Kennedy,Mujer,29,Texas,Empleado,05/04/2020,"$4,037.28",Soltero,Otro,Si,No,Domicilio,No
151,Brant Thornton,Hombre,33,Texas,Empleado,05/04/2020,"$5,849.42",Casado,Otro,Si,No,Domicilio,No
152,Bartholomeo Gainer,Hombre,32,Texas,Empleado,05/04/2020,"$49,834.94",Soltero,Preparatoria,Si,Si,Correo,No
153,Kaitlin MacIntyre,Mujer,36,Texas,Empleado,05/04/2020,"$55,190.87",Divorciado,Basica,Si,Si,Domicilio,No
154,Burl Rosenblatt,Hombre,46,Texas,Empleado,05/04/2020,"$65,337.40",Casado,Universidad,No,No,Correo,No
155,Elric Applegate,Hombre,33,Texas,Obrero,05/04/2020,"$1,447.06",Casado,Universidad,No,No,Domicilio,No
156,Mathew Savely,Hombre,24,Texas,Otro,05/04/2020,"$38,743.25",Divorciado,Universidad,No,No,Correo,No
157,Hamlin Armstrong,Hombre,32,Texas,Empleado,05/04/2020,"$24,072.58",Casado,Universidad,No,No,Correo,Si
158,Emanuel Ordway,Hombre,26,Texas,Empleado,05/04/2020,"$1,192.52",Casado,Universidad,Si,No,Correo,No
159,Nathaniel Katz,Hombre,30,Texas,Empleado,05/04/2020,"$25,060.45",Soltero,Universidad,No,No,Correo,No
160,Raymundo Gelder,Hombre,38,Texas,Empleado,05/04/2020,"$7,481.19",Casado,Universidad,Si,No,Correo,No
161,Hynda Vittorini,Mujer,42,Texas,Empleado,05/04/2020,"$2,539.58",Casado,Preparatoria,No,No,Domicilio,No
162,Mirabella Garza,Mujer,36,Texas,Otro,05/04/2020,"$70,896.00",Soltero,Universidad,Si,No,Domicilio,No
163,Kath Pistole,Mujer,39,Texas,Empleado,05/04/2020,"$3,807.76",Soltero,Universidad,No,Si,Domicilio,No
164,Marylinda Preis,Mujer,59,Nevada,Otro,05/04/2020,"$61,599.91",Casado,Universidad,Si,Si,Domicilio,No
165,Joseph Shifley,Hombre,52,Nevada,Obrero,05/04/2020,"$4,674.87",Soltero,Preparatoria,No,No,Correo,Si
166,Ikey Gayman,Hombre,51,Nevada,Obrero,05/04/2020,"$10,811.63",Soltero,Universidad,Si,No,Domicilio,No
167,Barnabas Foster,Hombre,24,Arizona,Obrero,05/04/2020,"$18,857.22",Casado,Universidad,No,No,Celular,No
168,Rozanne Französisch,Mujer,30,Arizona,Empleado,05/04/2020,"$33,640.55",Divorciado,Universidad,Si,No,Correo,No
169,Montgomery Herrera,Hombre,39,Texas,Obrero,06/04/2020,"$84,105.70",Casado,Preparatoria,No,No,Domicilio,No
170,Vallie Carter,Mujer,32,Texas,Otro,06/04/2020,"$3,401.15",Soltero,Universidad,Si,Si,Correo,No
171,Ave Jumper,Hombre,38,Texas,Empleado,06/04/2020,"$13,935.99",Casado,Universidad,No,No,Domicilio,No
172,Inglebert Brown,Hombre,42,Texas,Obrero,06/04/2020,"$68,433.88",Soltero,Preparatoria,No,No,Correo,No
173,Tedi Paige,Mujer,26,Texas,Empleado,06/04/2020,"$105,307.75",Soltero,Universidad,Si,Si,Correo,No
174,Meridith Fritzler,Mujer,31,Texas,Empleado,06/04/2020,"$46,525.72",Casado,Universidad,Si,No,Correo,No
175,Jake Daniels,Hombre,31,Texas,Empleado,06/04/2020,"$15,925.15",Casado,Preparatoria,No,No,Correo,No
176,Brana Heidel,Mujer,25,Texas,Empleado,06/04/2020,"$31,343.43",Casado,Universidad,Si,Si,Correo,No
177,Hew Baird,Hombre,35,Texas,Empleado,06/04/2020,"$78,356.51",Casado,Universidad,Si,Si,Correo,No
178,Matty Kennedy,Hombre,33,Texas,Obrero,06/04/2020,"$56,926.24",Casado,Universidad,Si,No,Correo,No
179,Durward Overcash,Hombre,24,Texas,Obrero,06/04/2020,"$52,342.46",Casado,Otro,No,No,Domicilio,No
180,Enoch Bowman,Hombre,29,Florida,Obrero,06/04/2020,"$20,609.18",Casado,Preparatoria,Si,No,Correo,No
181,Anastasia Blackwell,Mujer,32,Texas,Empleado,07/04/2020,"$96,664.51",Soltero,Preparatoria,Si,Si,Correo,No
182,Renato Buch,Hombre,36,Texas,Empleado,07/04/2020,"$23,199.39",Soltero,Universidad,No,Si,Correo,No
183,Erasmus Braxton,Hombre,31,Texas,Empleado,07/04/2020,"$132,496.28",Soltero,Universidad,Si,No,Correo,No
184,Alexis Chand,Hombre,33,Texas,Otro,07/04/2020,"$94,134.60",Divorciado,Universidad,No,No,Domicilio,No
185,Benjamin Norvell,Hombre,40,Texas,Otro,07/04/2020,"$21,893.28",Casado,Universidad,Si,No,Domicilio,No
186,Burta Sundaresam,Mujer,51,Nevada,Otro,07/04/2020,"$55,312.31",Casado,Preparatoria,Si,No,Correo,No
187,Berget Herman,Mujer,46,Texas,Empleado,08/04/2020,"$47,720.99",Casado,Preparatoria,Si,No,Celular,No
188,Dareen Pistek,Mujer,29,Texas,Empleado,08/04/2020,"$23,216.24",Soltero,Universidad,Si,No,Correo,No
189,Kathye Ellison,Mujer,40,Texas,Empleado,08/04/2020,"$9,268.70",Casado,Universidad,Si,No,Correo,No
190,Cassandry Grady,Mujer,25,Texas,Otro,08/04/2020,"$63,039.34",Casado,Universidad,Si,No,Correo,Si
191,Deryl Preis,Hombre,51,Nevada,Obrero,08/04/2020,"$1,286.67",Casado,Basica,Si,Si,Celular,No
192,Page Mull,Hombre,39,Texas,Empleado,09/04/2020,"$56,629.61",Casado,Universidad,Si,No,Correo,No
193,Joellen Tran,Mujer,44,Texas,Otro,10/04/2020,"$13,928.81",Soltero,Preparatoria,No,No,Correo,No
194,Knox Ann,Hombre,40,Texas,Empleado,10/04/2020,"$32,344.75",Casado,Universidad,No,No,Domicilio,No
195,Pooh Weiss,Mujer,35,Texas,Empleado,10/04/2020,"$17,111.37",Soltero,Universidad,No,No,Correo,No
196,Henrie Jones,Mujer,32,Texas,Empleado,10/04/2020,"$102,116.24",Divorciado,Universidad,Si,No,Correo,No
197,Hiram Sunley,Hombre,38,Texas,Obrero,11/04/2020,"$3,002.48",Soltero,Universidad,Si,No,Domicilio,No
198,Mischa O'Brian,Hombre,29,Texas,Empleado,11/04/2020,"$2,692.25",Casado,Universidad,No,Si,Correo,No
199,Nisa Dona,Mujer,31,Texas,Obrero,11/04/2020,"$45,082.04",Casado,Preparatoria,No,No,Correo,No
200,Sarette Yedwab,Mujer,47,Texas,Empleado,11/04/2020,"$88,182.69",Casado,Universidad,No,No,Celular,Si
201,Murdock Martinez,Hombre,34,Texas,Otro,12/04/2020,"$36,602.78",Soltero,Preparatoria,Si,No,Correo,No
202,Dafna Smith,Mujer,37,Texas,Empleado,12/04/2020,"$51,459.40",Casado,Universidad,No,No,Correo,No
203,Christie Nguyen,Mujer,40,Texas,Empleado,12/04/2020,"$64,910.70",Soltero,Preparatoria,Si,No,Correo,Si
204,Teryl Braden,Mujer,26,Texas,Empleado,12/04/2020,"$17,035.81",Divorciado,Preparatoria,Si,No,Correo,No
205,Easter Connell,Mujer,25,Texas,Obrero,12/04/2020,"$72,467.51",Soltero,Preparatoria,No,No,Celular,Si
206,Alfreda Dahlen,Mujer,36,Texas,Empleado,12/04/2020,"$123,777.10",Soltero,Preparatoria,Si,No,Correo,No
207,Garfinkel Hirasaki,Hombre,41,Texas,Empleado,12/04/2020,"$76,077.85",Casado,Universidad,Si,Si,Correo,No
208,Penny Gockenbach,Hombre,39,Texas,Empleado,12/04/2020,"$3,678.01",Casado,Universidad,Si,No,Correo,No
209,Antonius Bern,Hombre,39,Texas,Obrero,12/04/2020,"$20,996.97",Soltero,Universidad,Si,No,Correo,No
210,Benjamen Cacioppo,Hombre,44,Nevada,Obrero,12/04/2020,"$58,940.55",Casado,Universidad,No,No,Correo,No
211,Antonio Lucas,Hombre,39,Texas,Empleado,13/04/2020,"$49,245.43",Soltero,Universidad,Si,No,Correo,No
212,Ferguson Armold,Hombre,34,Texas,Empleado,13/04/2020,"$15,232.60",Soltero,Universidad,Si,No,Domicilio,No
213,Yalonda Phan,Mujer,29,Texas,Obrero,13/04/2020,"$20,662.15",Casado,Preparatoria,Si,No,Correo,No
214,Marthe Koutras,Mujer,21,Texas,Otro,13/04/2020,"$12,219.72",Casado,Universidad,No,No,Correo,No
215,Chandler Drucker,Hombre,39,Texas,Obrero,13/04/2020,"$39,434.52",Casado,Preparatoria,No,No,Correo,No
216,Ephraim MacKendrick,Hombre,38,Texas,Empleado,13/04/2020,"$56,793.03",Casado,Preparatoria,Si,No,Correo,Si
217,Kathryne Shami,Mujer,28,Texas,Empleado,13/04/2020,"$26,162.27",Casado,Universidad,No,No,Correo,No
